altmetric_id,core_doi,document_type,title,unique_identifier,posted_on,summary,lang_checked
803051,10.1126/science.1213362,patent,METHODS AND COMPOSITIONS FOR DUAL GLYCAN BINDING AAV VECTORS,https://app.dimensions.ai/details/patent/ep-3838297-a1,23/06/2021,"The present invention provides methods and compositions comprising an adeno-associated virus (AAV) capsid protein, comprising one or more amino acids substitutions, wherein the substitutions introduce a new glycan binding site into the AAV capsid protein.",True
803051,10.1126/science.1213362,patent,Methods and compositions for dual glycan binding AAV vectors,https://app.dimensions.ai/details/patent/us-11059862-b2,13/07/2021,"The present invention provides methods and compositions comprising an adeno-associated virus (AAV) capsid protein, comprising one or more amino acids substitutions, wherein the substitutions introduce a new glycan binding site into the AAV capsid protein.",True
803051,10.1126/science.1213362,patent,METHODS AND COMPOSITIONS FOR DUAL GLYCAN BINDING AAV VECTORS,https://app.dimensions.ai/details/patent/wo-2014144229-a1,18/09/2014,"The present invention provides methods and compositions comprising an adeno-associated virus (AAV) capsid protein, comprising one or more amino acids substitutions, wherein the substitutions introduce a new glycan binding site into the AAV capsid protein.",True
803051,10.1126/science.1213362,patent,Methods and compositions for dual glycan binding AAV vectors,https://app.dimensions.ai/details/patent/us-12049478-b2,30/07/2024,"The present invention provides methods and compositions comprising an adeno-associated virus (AAV) capsid protein, comprising one or more amino acids substitutions, wherein the substitutions introduce a new glycan binding site into the AAV capsid protein.",True
803051,10.1126/science.1213362,wikipedia,Influenza A virus subtype H5N1,http://en.wikipedia.org/?diff=prev&oldid=498912528#altmetric_citation_38,22/06/2012,"Influenza A virus subtype H5N1 (A/H5N1) is a subtype of the influenza A virus, which causes influenza (flu), predominantly in birds.",True
803051,10.1126/science.1213362,wikipedia,Biotechnology risk,http://en.wikipedia.org/?diff=prev&oldid=732003501#altmetric_citation_1ca5c629-3d32-4afd-b135-5ad2a7576cf9,28/07/2016,"Biotechnology risk is a form of existential risk that could come from biological sources, such as genetically engineered biological agents.",True
803051,10.1126/science.1213362,wikipedia,Gain of function research,http://en.wikipedia.org/?diff=prev&oldid=1025784290#altmetric_citation_6eb7cad7-acb7-4eef-ac95-8f42b3794946,29/05/2021,"Gain of function research (GoFR) is a term used to describe any field of medical research which alters an organism or disease in a way that increases pathogenesis, transmissibility, or host range (the types of hosts that a microorganism can infect).",True
803051,10.1126/science.1213362,wikipedia,Serial passage,http://en.wikipedia.org/?diff=prev&oldid=1065470061#altmetric_citation_64b81f62-5b47-4ddc-aae7-33ef2ff8b7ac,13/01/2022,"Serial passage is the process of growing bacteria or a virus in iterations. For instance, a virus may be grown in one environment, and then a portion of that virus population can be removed and put into a new environment.",True
509140,10.1126/science.1072266,blogs,Synthesizing A Human Genome,http://epigenie.com/synthesizing-a-human-genome,17/06/2016,"One score and six years ago, humanity embarked upon the Human Genome Project (HGP), sequencing all 3 gigabases of our genetic instruction manual. More than 1000 human genomes later, a consortium of synthetic biology heavy-hitters has proposed a new gran...",True
509140,10.1126/science.1072266,blogs,Self-Replicating Xenobots Could Help Cure Diseases—Or Create New Bioweapons,https://singularityhub.com/2021/12/10/self-replicating-xenobots-could-help-cure-diseases-or-create-new-bioweapons,10/12/2021,"In 2020, scientists made global headlines by creating “xenobots”—tiny “programmable” living things made of several thousand frog stem cells. These pioneer xenobots could move around in fluids, and scientists claimed they could be useful for monitoring rad...",True
509140,10.1126/science.1072266,blogs,"Design, construction, and functional characterization of a tRNA neochromosome in yeast",https://www.cell.com/cell/fulltext/s0092-8674(23)01130-3?rss=yes,08/11/2023,A designer tRNA neochromosome containing all 275 nuclear tRNA genes of Saccharomyces cerevisiae reveals unexpected genomic plasticity and insights into both tRNA and chromosome biology.,True
509140,10.1126/science.1072266,blogs,Debugging and consolidating multiple synthetic chromosomes reveals combinatorial genetic interactions,https://www.cell.com/cell/fulltext/s0092-8674(23)01079-6?rss=yes,08/11/2023,"Multiple synthetic chromosomes in Sc2.0 were consolidated together into a single yeast strain, revealing combinational genetic interactions through CRISPR D-BUGS.",True
509140,10.1126/science.1072266,blogs,The Dangers of Mirrored Life,https://www.asimov.press/p/mirror-life,12/12/2024,"The creation of a &#8220;mirrored&#8221; organism could &#8220;trigger severe ecological disruptions,&#8221; according to a 300-page technical report released today. Its authors claim such organisms could quickly spread across the world, fatally infect ...",True
509140,10.1126/science.1072266,news,The next pandemic could be downloaded from the internet,http://theconversation.com/the-next-pandemic-could-be-downloaded-from-the-internet-22653,03/02/2014,"Last October, scientists in California sequenced the DNA for the “type H” botulinum toxin. One gram of this toxin would be sufficient to kill half a billion people , making it the deadliest substance yet discovered – with no antidote. The DNA sequence was...",True
509140,10.1126/science.1072266,news,The next pandemic could be downloaded from the internet,http://www.technology.org/2014/02/04/next-pandemic-downloaded-internet,04/02/2014,"Too much information could be a recipe for disaster. Abode of Chaos Last October, scientists in California sequenced the DNA for the “type H” botulinum toxin. One gram of this toxin would be sufficient to kill half a billion people, making it the deadlies...",True
509140,10.1126/science.1072266,news,The next pandemic could be downloaded from the internet,http://phys.org/news/2014-02-pandemic-downloaded-internet.html,04/02/2014,"Last October, scientists in California sequenced the DNA for the ""type H"" botulinum toxin. One gram of this toxin would be sufficient to kill half a billion people, making it the deadliest substance yet discovered – with no antidote. The DNA sequence was ...",True
509140,10.1126/science.1072266,news,Scientists Build a Yeast Chromosome From Scratch. Next Up? Designer Genomes,http://www.smithsonianmag.com/science-nature/scientists-build-yeast-chromosome-scratch-next-up-designer-genomes-180950281,27/03/2014,"Creating synthetic organisms with specially-tailored genomes is a long way off, but the first synthetic eukaryotic chromosome is a big step forward",True
